timestamp,velocity,note_number
1418851849.253886938,95.0,52.0
1418851859.298618078,112.0,52.0
1418851860.246093035,98.0,52.0
1418851861.187154055,89.0,52.0
1418851861.702790022,96.0,52.0
1418851862.718230963,98.0,52.0
1418851863.707695007,82.0,52.0
1418851864.711455107,70.0,52.0
1418851865.207391024,80.0,52.0
1418851866.193845987,102.0,52.0
1418851867.168672085,86.0,52.0
1418851868.210365057,95.0,52.0
1418851869.289421082,98.0,52.0
1418851869.793312073,119.0,52.0
1418851870.695899010,86.0,52.0
1418851871.712636948,73.0,52.0
1418851872.710860968,116.0,52.0
1418851873.197617054,86.0,52.0
1418851874.126763105,100.0,52.0
1418851875.211270094,93.0,52.0
1418851876.193437099,73.0,52.0
1418851877.161356926,86.0,52.0
1418851877.638688087,80.0,52.0
